estado;cidade;marca;modelo;cambio;ano;km;preco;link;faixa_preco;preco_norm;km_norm
PR;Curitiba;Citroën;C3 C3 Exclusive 1.6 VTI 120 (Flex) automático;ERRO;2015/2015;300.0;;https://www.icarros.com.br/comprar/curitiba-pr/citroen/c3/2015/d53484665?pos=1&hfv=true&financiamento=true;;;0.0002890034680416165
RJ;São Pedro da Aldeia;Hyundai;i30 I30 GLS 1.8 16V MPI (Aut) C180 automático;ERRO;2014/2015;88888.0;;https://www.icarros.com.br/comprar/sao-pedro-da-aldeia-rj/hyundai/i30/2015/d53236719?pos=4&hfv=true&financiamento=true;;;0.08887806653679844
SP;Ibitinga;Suzuki;Jimny Jimny 4x4 1.3 16V manual;ERRO;2008/2009;220000.0;;https://www.icarros.com.br/comprar/ibitinga-sp/suzuki/jimny/2009/d53526480?pos=3&hfv=true;;;0.2199916398996788
RS;Gravataí;Fiat;Strada Strada 1.3 Cabine Plus Endurance manual;ERRO;2023/2024;40275.0;;https://www.icarros.com.br/comprar/gravatai-rs/fiat/strada/2024/d53568441?pos=5&hfv=false&financiamento=true;;;0.040264483173798084
SP;Cotia;Renault;Duster Duster 1.6 16V Expression (Flex) manual;ERRO;2013/2014;103000.0;;https://www.icarros.com.br/comprar/cotia-sp/renault/duster/2014/d53572068?pos=7&hfv=true&financiamento=true;;;0.1029902358828306
SC;Joinville;Ford;Ka Ka 1.5 SE Plus (Flex) automático;ERRO;2018/2019;111111.0;;https://www.icarros.com.br/comprar/joinville-sc/ford/ka/2019/d53132579?pos=6&hfv=true&financiamento=true;;;0.11110133321599859
PE;Petrolina;Fiat;Argo Argo 1.0 Drive manual;Não informado;2024/2025;48811.0;75990.0;https://www.icarros.com.br/comprar/petrolina-pe/fiat/argo/2025/d53576999?pos=8&hfv=false&financiamento=true;Intermediário;0.10875644011949041;0.04880058560702728
SP;São Paulo;Volkswagen;Tiguan Tiguan 2.0 TSI 4WD automático;Não informado;2012/2012;110400.0;57500.0;https://www.icarros.com.br/comprar/sao-paulo-sp/volkswagen/tiguan/2012/d53548286?pos=2&hfv=true&financiamento=true;Popular;0.07605398646270523;0.1103903246838962
PA;Belém;Hyundai;HB20S HB20S 1.6 Comfort Plus blueMedia manual;Não informado;2017/2017;76000.0;63990.0;https://www.icarros.com.br/comprar/belem-pa/hyundai/hb20s/2017/d53584861?pos=10&hfv=true&financiamento=true;Popular;0.0875325653827991;0.07598991187894255
SP;São Paulo;Jeep;Compass Compass 2.0 Longitude (Aut) (Flex) automático;Não informado;2017/2018;100608.0;82990.0;https://www.icarros.com.br/comprar/sao-paulo-sp/jeep/compass/2018/d53571006?pos=9&hfv=true&financiamento=true;Intermediário;0.12113703371589367;0.10059820717848614
SP;Araçatuba;Hyundai;HB20 HB20 1.0 Sense Plus manual;Não informado;2023/2024;29962.0;65590.0;https://www.icarros.com.br/comprar/aracatuba-sp/hyundai/hb20/2024/d53583435?pos=11&hfv=false&financiamento=true;Popular;0.09036241534769128;0.029951359416312995
BA;Vitória da Conquista;Fiat;Argo Argo 1.0 Drive manual;Não informado;2024/2025;30807.0;77790.0;https://www.icarros.com.br/comprar/vitoria-da-conquista-ba/fiat/argo/2025/d53564499?pos=12&hfv=false&financiamento=true;Intermediário;0.11194002132999412;0.030796369556434677
GO;Goiânia;Volkswagen;Fox Fox 1.6 MSI Comfortline (Flex) manual;ERRO;2016/2016;70000.0;;https://www.icarros.com.br/comprar/goiania-go/volkswagen/fox/2016/d53561411?pos=14&hfv=true;;;0.06998983987807854
PR;Curitiba;Chevrolet;Classic Classic Life 1.0 (Flex) manual;Não informado;2009/2009;59650.0;39990.0;https://www.icarros.com.br/comprar/curitiba-pr/chevrolet/classic/2009/d53579324?pos=13&hfv=true&financiamento=true;Popular;0.0450848159094165;0.05963971567658812
PE;Petrolina;Hyundai;HB20 HB20 1.0 Sense manual;ERRO;2021/2022;110245.0;;https://www.icarros.com.br/comprar/petrolina-pe/hyundai/hb20/2022/d53587166?pos=15&hfv=true&financiamento=true;;;0.11023532282387388
